DT,GR,NPHI,RHOB,RT,DEPTH
,16.699,,,0.784358061,242.3
,16.398,,,0.663203304,242.4
,15.497,,,0.574363645,242.5
,13.999,,,0.483659956,242.6
,13.601,,,0.599385801,242.7
,13.999,,,0.774727168,242.8
,13.6,,,0.825490368,242.9
,13.499,,,0.871711688,243
,13.098,,,0.468752847,243.1
,12.099,,,0.489806257,243.2
,11.697,,,0.051643233,243.3
,10.001,,,0.27307592,243.4
,10.302,,,0.183154543,243.5
,11.102,,,0.165514438,243.6
,11.902,,,0.086177696,243.7
,12.9,,,0.069526063,243.8
,12.699,,,-0.020202707,243.9
,12.401,,,0.067658648,244
,13,,,-0.043951888,244.1
,13.002,,,0.122217633,244.2
,13.798,,,-0.199671195,244.3
,12.7,,,-0.138113302,244.4
,12.5,,,-0.183922838,244.5
,12.4,,,-0.056570351,244.6
,12.301,,,-0.220646671,244.7
,12.9,,,-0.168418652,244.8
,12.798,,,-0.16134315,244.9
,11.701,,,-0.432322562,245
,12.001,,,-0.335472736,245.1
,12.699,,,-0.435408984,245.2
,12.099,,,-0.544727175,245.3
,11.4,,,-0.401971219,245.4
,11.498,,,-0.536143432,245.5
,10.5,,,-0.644357016,245.6
,10.3,,,-0.332679438,245.7
,10.403,,,-0.26918749,245.8
,11.902,,,-0.42159449,245.9
,13.099,,,-0.474815186,246
,12.699,,,-0.155484903,246.1
,12.3,,,-0.430782916,246.2
,12.099,,,-0.220646671,246.3
,11.399,,,-0.832409248,246.4
,10.899,,,-0.430782916,246.5
,10.402,,,-0.901402119,246.6
,11.299,,,-0.463624022,246.7
,10.899,,,-0.889162064,246.8
,10.5,,,-0.921303274,246.9
,10.299,,,-1.142564176,247
,9.699,,,-1.276543497,247.1
,8.999,,,-1.265848208,247.2
,8.499,,,-1.072944542,247.3
,7.799,,,-1.298283484,247.4
,7.499,,,-1.474033275,247.5
,6.899,,,-1.448169765,247.6
,6.199,,,-1.078809661,247.7
,5.699,,,-1.443923474,247.8
,5.299,,,-1.546463113,247.9
,4.999,,,-1.518683549,248
,4.399,,,-1.067113622,248.1
,3.999,,,-1.099612789,248.2
,3.499,,,-1.174414002,248.3
,3,,,-1.244794799,248.4
,2.899,,,-1.231001477,248.5
,2.599,,,-1.298283484,248.6
,2.2,,,-1.331806176,248.7
,2.301,,,-1.248273063,248.8
,2.901,,,-1.335601247,248.9
,3.601,,,-1.30933332,249
,4.201,,,-1.305636458,249.1
,4.9,,,-1.294627173,249.2
,4.7,,,-1.301953213,249.3
,4.9,,,-1.287354413,249.4
,4.7,,,-1.294627173,249.5
,4.899,,,-1.30933332,249.6
,4.399,,,-1.313043899,249.7
,3.799,,,-1.298283484,249.8
,3.4,,,-1.272965676,249.9
,3.5,,,-1.262308381,250
,3.601,,,-1.22758267,250.1
,3.902,,,-1.203972804,250.2
,4.7,,,-1.161552088,250.3
,4.701,,,-1.090644119,250.4
,5.402,,,-1.03563749,250.5
,6.301,,,-1.032824548,250.6
,6.6,,,-0.967584026,250.7
,6.802,,,-0.906340401,250.8
,7.803,,,-0.903868212,250.9
,9.501,,,-0.916290732,251
,10.2,,,-0.884307686,251.1
,10.198,,,-0.848632083,251.2
,9.202,,,-0.765717873,251.3
,10.101,,,-0.770028225,251.4
,10.598,,,-0.659712404,251.5
,9.5,,,-0.569161201,251.6
,9.3,,,-0.853315933,251.7
,9.202,,,-0.652005237,251.8
,10.299,,,-0.675307262,251.9
,9.999,,,-0.721546655,252
,9.701,,,-0.713349888,252.1
,10.3,,,-0.867500568,252.2
,10.499,,,-0.889162064,252.3
,9.898,,,-0.848632083,252.4
,9.1,,,-0.8603831,252.5
,8.901,,,-0.954511945,252.6
,9.201,,,-0.74865989,252.7
,9.6,,,-0.652005237,252.8
,9.499,,,-0.750776293,252.9
,9.102,,,-0.789658081,253
,9.902,,,-0.858021824,253.1
,11.1,,,-0.8603831,253.2
,11.199,,,-0.853315933,253.3
,10.5,,,-0.772190388,253.4
,10.298,,,-0.853315933,253.5
,9.199,,,-0.975510092,253.6
,8.902,,,-1.064210862,253.7
,9.899,,,-0.661648514,253.8
