DEPTH,GR,NPHI,RHOB,RT,DEPTH
3235.5,28.338,0.12,2.579,3.915,3235.5
3235.6,26.554,0.116,2.579,3.954,3235.6
3235.7,25.532,0.114,2.576,3.78,3235.7
3235.8,26.078,0.113,2.572,3.826,3235.8
3235.9,26.135,0.114,2.571,3.572,3235.9
3236.0,26.661,0.115,2.572,3.76,3236.0
3236.1,26.428,0.118,2.573,3.687,3236.1
3236.2,25.239,0.115,2.573,3.643,3236.2
3236.3,25.919,0.115,2.572,3.629,3236.3
3236.4,25.628,0.117,2.572,3.587,3236.4
3236.5,26.346,0.115,2.572,3.522,3236.5
3236.6,27.203,0.117,2.574,3.425,3236.6
3236.7,26.147,0.12,2.575,3.38,3236.7
3236.8,25.289,0.12,2.575,3.325,3236.8
3236.9,26.494,0.12,2.573,3.303,3236.9
3237.0,26.19,0.119,2.572,3.304,3237.0
3237.1,25.725,0.119,2.574,3.279,3237.1
3237.2,25.687,0.119,2.578,3.348,3237.2
3237.3,25.661,0.118,2.582,3.274,3237.3
3237.4,25.512,0.118,2.583,3.243,3237.4
3237.5,24.995,0.118,2.58,3.191,3237.5
3237.6,24.917,0.118,2.576,3.359,3237.6
3237.7,24.762,0.118,2.574,3.299,3237.7
3237.8,23.39,0.116,2.578,3.305,3237.8
3237.9,22.578,0.115,2.586,3.449,3237.9
3238.0,21.941,0.115,2.593,3.428,3238.0
3238.1,22.029,0.114,2.594,3.402,3238.1
3238.2,22.983,0.114,2.589,3.315,3238.2
3238.3,23.826,0.119,2.581,3.207,3238.3
3238.4,26.139,0.124,2.575,3.208,3238.4
3238.5,27.49,0.128,2.571,3.117,3238.5
3238.6,28.674,0.131,2.568,3.064,3238.6
3238.7,29.706,0.133,2.565,3.074,3238.7
3238.8,31.822,0.133,2.564,3.075,3238.8
3238.9,33.708,0.133,2.565,2.959,3238.9
3239.0,34.011,0.132,2.566,3.034,3239.0
3239.1,32.347,0.131,2.567,3.09,3239.1
3239.2,30.114,0.128,2.568,3.065,3239.2
3239.3,30.295,0.124,2.569,3.085,3239.3
3239.4,29.535,0.122,2.569,3.15,3239.4
3239.5,28.307,0.12,2.569,3.191,3239.5
3239.6,26.76,0.123,2.569,3.214,3239.6
3239.7,26.274,0.121,2.57,3.331,3239.7
3239.8,24.914,0.119,2.573,3.449,3239.8
3239.9,23.625,0.118,2.576,3.427,3239.9
3240.0,23.129,0.117,2.578,3.491,3240.0
3240.1,22.126,0.116,2.577,3.589,3240.1
3240.2,20.97,0.114,2.574,3.609,3240.2
3240.3,20.814,0.112,2.571,3.644,3240.3
3240.4,20.626,0.11,2.569,3.696,3240.4
3240.5,20.07,0.108,2.569,3.808,3240.5
3240.6,19.436,0.105,2.569,3.828,3240.6
3240.7,19.134,0.104,2.572,3.892,3240.7
3240.8,19.11,0.102,2.576,3.962,3240.8
3240.9,18.452,0.101,2.579,3.998,3240.9
3241.0,17.155,0.1,2.581,4.052,3241.0
3241.1,17.187,0.098,2.581,4.078,3241.1
3241.2,17.569,0.097,2.58,4.062,3241.2
3241.3,18.51,0.097,2.58,4.058,3241.3
3241.4,18.801,0.097,2.58,4.072,3241.4
3241.5,17.812,0.099,2.582,4.103,3241.5
3241.6,18.153,0.099,2.585,4.136,3241.6
3241.7,18.174,0.099,2.588,4.129,3241.7
3241.8,18.041,0.098,2.588,4.119,3241.8
3241.9,19.546,0.099,2.587,4.111,3241.9
3242.0,20.222,0.102,2.584,4.031,3242.0
3242.1,20.494,0.104,2.581,4.05,3242.1
3242.2,22.528,0.107,2.581,4.001,3242.2
3242.3,24.85,0.112,2.585,3.965,3242.3
3242.4,26.511,0.113,2.588,3.886,3242.4
3242.5,28.151,0.115,2.588,3.917,3242.5
3242.6,28.837,0.116,2.587,3.796,3242.6
3242.7,28.559,0.117,2.588,3.754,3242.7
3242.8,28.084,0.118,2.59,3.73,3242.8
3242.9,28.742,0.119,2.592,3.744,3242.9
3243.0,29.134,0.118,2.591,3.782,3243.0
3243.1,28.999,0.115,2.59,3.789,3243.1
3243.2,27.421,0.108,2.59,3.843,3243.2
3243.3,25.609,0.102,2.59,3.997,3243.3
3243.4,24.644,0.096,2.589,4.172,3243.4
3243.5,23.972,0.094,2.587,4.379,3243.5
3243.6,22.653,0.089,2.587,4.564,3243.6
3243.7,21.86,0.085,2.589,4.676,3243.7
3243.8,21.127,0.082,2.594,4.722,3243.8
3243.9,19.683,0.081,2.598,4.797,3243.9
3244.0,19.175,0.082,2.602,4.839,3244.0
3244.1,20.397,0.085,2.603,4.858,3244.1
3244.2,21.454,0.093,2.603,4.761,3244.2
3244.3,22.005,0.098,2.601,4.605,3244.3
3244.4,25.131,0.1,2.597,4.481,3244.4
3244.5,27.899,0.104,2.592,4.434,3244.5
3244.6,29.338,0.108,2.589,4.342,3244.6
3244.7,29.584,0.112,2.587,4.218,3244.7
3244.8,29.44,0.113,2.586,4.079,3244.8
3244.9,29.371,0.113,2.586,4.044,3244.9
3245.0,29.074,0.112,2.586,4.085,3245.0
3245.1,29.334,0.113,2.588,4.177,3245.1
3245.2,29.054,0.114,2.59,4.329,3245.2
3245.3,28.681,0.116,2.592,4.598,3245.3
3245.4,28.548,0.118,2.593,4.65,3245.4
3245.5,29.209,0.12,2.592,4.532,3245.5
3245.6,28.985,0.121,2.587,4.276,3245.6
3245.7,28.932,0.118,2.582,4.082,3245.7
3245.8,29.045,0.121,2.576,3.998,3245.8
3245.9,28.569,0.12,2.572,4.213,3245.9
3246.0,27.795,0.12,2.572,4.409,3246.0
3246.1,26.092,0.12,2.574,4.583,3246.1
3246.2,25.844,0.119,2.578,4.674,3246.2
3246.3,25.199,0.118,2.584,4.593,3246.3
3246.4,25.862,0.118,2.589,4.484,3246.4
3246.5,27.832,0.119,2.593,4.453,3246.5
3246.6,28.659,0.122,2.596,4.406,3246.6
3246.7,30.839,0.126,2.599,4.426,3246.7
3246.8,33.563,0.133,2.601,4.427,3246.8
3246.9,35.48,0.141,2.601,4.368,3246.9
3247.0,40.928,0.145,2.599,4.223,3247.0
3247.1,46.851,0.155,2.595,3.983,3247.1
3247.2,53.646,0.162,2.588,3.642,3247.2
3247.3,56.449,0.163,2.579,3.292,3247.3
3247.4,56.96,0.162,2.568,3.01,3247.4
3247.5,55.776,0.155,2.561,2.864,3247.5
3247.6,54.095,0.147,2.559,2.954,3247.6
3247.7,52.586,0.142,2.559,3.009,3247.7
3247.8,47.183,0.134,2.561,3.479,3247.8
3247.9,40.707,0.128,2.564,3.852,3247.9
3248.0,35.46,0.125,2.567,3.731,3248.0
3248.1,33.076,0.122,2.568,3.862,3248.1
3248.2,31.352,0.12,2.567,3.894,3248.2
3248.3,30.193,0.117,2.566,3.894,3248.3
3248.4,30.0,0.116,2.567,3.963,3248.4
3248.5,29.361,0.115,2.571,4.08,3248.5
3248.6,28.283,0.114,2.575,4.175,3248.6
3248.7,26.991,0.112,2.577,4.268,3248.7
3248.8,27.085,0.11,2.579,4.336,3248.8
3248.9,27.052,0.107,2.58,4.329,3248.9
3249.0,26.298,0.105,2.58,4.406,3249.0
3249.1,26.628,0.104,2.581,4.408,3249.1
3249.2,26.417,0.105,2.581,4.448,3249.2
3249.3,25.008,0.106,2.582,4.419,3249.3
3249.4,24.878,0.107,2.585,4.411,3249.4
3249.5,26.632,0.108,2.586,4.475,3249.5
3249.6,26.878,0.108,2.586,4.452,3249.6
3249.7,26.254,0.107,2.584,4.525,3249.7
3249.8,26.357,0.107,2.583,4.577,3249.8
3249.9,26.325,0.103,2.584,4.553,3249.9
3250.0,24.623,0.106,2.586,4.54,3250.0
3250.1,24.281,0.105,2.589,4.613,3250.1
3250.2,24.726,0.104,2.591,4.562,3250.2
3250.3,24.852,0.104,2.591,4.585,3250.3
3250.4,24.616,0.104,2.59,4.721,3250.4
3250.5,23.868,0.104,2.588,4.721,3250.5
3250.6,24.162,0.104,2.587,4.665,3250.6
3250.7,24.005,0.103,2.588,4.728,3250.7
3250.8,23.597,0.102,2.588,4.735,3250.8
3250.9,22.419,0.101,2.589,4.761,3250.9
3251.0,22.622,0.099,2.59,4.799,3251.0
3251.1,23.157,0.097,2.591,4.816,3251.1
3251.2,22.617,0.095,2.592,4.805,3251.2
3251.3,22.436,0.095,2.592,4.893,3251.3
3251.4,22.255,0.094,2.592,4.851,3251.4
3251.5,22.347,0.094,2.593,4.861,3251.5
