DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2598.0,103.875,89.068,0.443,2.355,0.771,2598.0
2598.1,102.44,87.952,0.424,2.363,0.792,2598.1
2598.2,102.252,86.536,0.404,2.369,0.835,2598.2
2598.3,102.146,83.295,0.385,2.371,0.847,2598.3
2598.4,101.741,77.128,0.372,2.368,0.906,2598.4
2598.5,101.745,74.12,0.37,2.362,1.063,2598.5
2598.6,101.705,76.069,0.376,2.355,1.038,2598.6
2598.7,101.276,77.332,0.383,2.351,0.95,2598.7
2598.8,100.624,79.827,0.384,2.35,1.016,2598.8
2598.9,99.787,80.688,0.378,2.352,1.055,2598.9
2599.0,98.569,77.782,0.369,2.356,1.065,2599.0
2599.1,96.86,75.713,0.364,2.36,1.097,2599.1
2599.2,94.781,76.964,0.362,2.363,1.125,2599.2
2599.3,91.964,76.221,0.364,2.363,1.167,2599.3
2599.4,89.147,76.848,0.366,2.361,1.202,2599.4
2599.5,86.468,75.583,0.362,2.358,1.143,2599.5
2599.6,84.699,74.216,0.345,2.355,1.048,2599.6
2599.7,84.527,72.872,0.323,2.353,1.022,2599.7
2599.8,85.51,67.446,0.299,2.35,1.046,2599.8
2599.9,87.789,61.405,0.282,2.344,1.087,2599.9
2600.0,90.338,56.141,0.271,2.335,1.122,2600.0
2600.1,93.096,51.381,0.264,2.323,1.066,2600.1
2600.2,95.722,45.99,0.256,2.307,0.993,2600.2
2600.3,98.049,40.233,0.249,2.289,0.857,2600.3
2600.4,100.089,37.054,0.245,2.271,0.669,2600.4
2600.5,101.381,32.285,0.241,2.257,0.556,2600.5
2600.6,102.36,31.861,0.24,2.249,0.51,2600.6
2600.7,102.984,32.823,0.253,2.245,0.513,2600.7
2600.8,102.972,36.112,0.278,2.244,0.486,2600.8
2600.9,102.684,40.87,0.317,2.246,0.495,2600.9
2601.0,102.063,46.767,0.362,2.254,0.551,2601.0
2601.1,101.084,57.324,0.406,2.271,0.619,2601.1
2601.2,99.934,67.643,0.434,2.295,0.682,2601.2
2601.3,98.561,70.221,0.447,2.316,0.765,2601.3
2601.4,96.966,72.109,0.444,2.328,0.845,2601.4
2601.5,95.68,71.721,0.435,2.333,0.915,2601.5
2601.6,95.15,71.687,0.422,2.335,0.978,2601.6
2601.7,95.607,69.496,0.402,2.335,1.024,2601.7
2601.8,96.321,66.708,0.374,2.335,1.002,2601.8
2601.9,97.033,65.387,0.344,2.331,0.989,2601.9
2602.0,97.545,62.203,0.316,2.325,0.947,2602.0
2602.1,97.756,58.335,0.295,2.316,0.915,2602.1
2602.2,97.151,54.164,0.281,2.304,0.874,2602.2
2602.3,97.015,50.532,0.271,2.291,0.817,2602.3
2602.4,96.932,46.693,0.263,2.281,0.771,2602.4
2602.5,96.144,42.285,0.256,2.273,0.694,2602.5
2602.6,95.912,38.655,0.25,2.265,0.625,2602.6
2602.7,95.849,38.544,0.248,2.256,0.559,2602.7
2602.8,94.889,37.33,0.244,2.248,0.513,2602.8
2602.9,94.718,36.16,0.242,2.241,0.51,2602.9
2603.0,95.011,34.482,0.241,2.237,0.501,2603.0
2603.1,94.643,33.992,0.24,2.235,0.498,2603.1
2603.2,94.149,35.762,0.245,2.234,0.513,2603.2
2603.3,93.565,38.612,0.251,2.236,0.551,2603.3
2603.4,93.292,40.099,0.263,2.239,0.563,2603.4
2603.5,92.831,42.417,0.275,2.243,0.599,2603.5
2603.6,92.188,44.284,0.291,2.247,0.607,2603.6
2603.7,93.071,46.025,0.304,2.253,0.613,2603.7
2603.8,93.512,47.606,0.314,2.261,0.656,2603.8
2603.9,93.4,51.022,0.312,2.273,0.69,2603.9
2604.0,93.574,54.347,0.297,2.287,0.751,2604.0
2604.1,93.721,55.529,0.277,2.3,0.768,2604.1
2604.2,93.801,50.823,0.261,2.304,0.743,2604.2
2604.3,93.601,42.564,0.253,2.297,0.723,2604.3
2604.4,93.161,37.647,0.249,2.279,0.707,2604.4
2604.5,92.36,33.517,0.249,2.258,0.659,2604.5
2604.6,91.347,31.902,0.248,2.24,0.596,2604.6
2604.7,90.628,30.596,0.248,2.227,0.533,2604.7
2604.8,90.635,28.697,0.25,2.22,0.487,2604.8
2604.9,90.505,26.634,0.251,2.217,0.467,2604.9
2605.0,90.516,26.871,0.25,2.218,0.437,2605.0
2605.1,91.019,25.899,0.246,2.221,0.419,2605.1
