DEPTH,GR,NPHI,RHOB,RT,DEPTH
3342.6,31.0152,0.1005,2.5903,4.3804,3342.6
3342.7,29.5035,0.0965,2.5913,4.4268,3342.7
3342.8,27.4049,0.0947,2.5938,4.5042,3342.8
3342.9,24.8261,0.0938,2.5936,4.5911,3342.9
3343.0,22.5001,0.0927,2.5906,4.6093,3343.0
3343.1,20.9831,0.0912,2.5873,4.6267,3343.1
3343.2,20.439,0.0897,2.5865,4.6868,3343.2
3343.3,19.8831,0.0882,2.5874,4.7794,3343.3
3343.4,19.6187,0.0868,2.5889,4.909,3343.4
3343.5,19.8069,0.085,2.5916,5.0661,3343.5
3343.6,19.9798,0.0828,2.595,5.1995,3343.6
3343.7,19.751,0.0806,2.5981,5.2875,3343.7
3343.8,18.8954,0.079,2.6009,5.3175,3343.8
3343.9,18.1043,0.0784,2.6035,5.3423,3343.9
3344.0,17.8378,0.079,2.6069,5.3763,3344.0
3344.1,17.9834,0.0803,2.6103,5.4349,3344.1
3344.2,16.8846,0.0822,2.6126,5.5032,3344.2
3344.3,15.69,0.0841,2.6139,5.5515,3344.3
3344.4,15.7151,0.0859,2.6153,5.5576,3344.4
3344.5,15.6385,0.087,2.6169,5.5823,3344.5
3344.6,15.4879,0.0871,2.6177,5.6135,3344.6
3344.7,15.4558,0.0867,2.6161,5.6291,3344.7
3344.8,15.8252,0.0865,2.6135,5.6337,3344.8
3344.9,16.643,0.0869,2.6112,5.6304,3344.9
3345.0,17.5394,0.0874,2.6096,5.627,3345.0
3345.1,17.8167,0.0878,2.6081,5.621,3345.1
3345.2,17.8816,0.088,2.6063,5.6095,3345.2
3345.3,18.5817,0.0888,2.6045,5.5942,3345.3
3345.4,19.0633,0.0902,2.6036,5.5873,3345.4
3345.5,19.3719,0.0923,2.6029,5.5804,3345.5
3345.6,19.9548,0.0915,2.6017,5.5508,3345.6
3345.7,20.4106,0.0916,2.5991,5.5037,3345.7
3345.8,20.627,0.0929,2.5946,5.4541,3345.8
3345.9,20.8364,0.0952,2.589,5.4289,3345.9
3346.0,21.3102,0.0948,2.5857,5.402,3346.0
3346.1,21.9314,0.0974,2.5876,5.3492,3346.1
3346.2,22.1331,0.0969,2.5938,5.2705,3346.2
3346.3,22.2295,0.0963,2.6006,5.2328,3346.3
3346.4,22.2628,0.0956,2.6041,5.217,3346.4
3346.5,22.0861,0.095,2.6031,5.0991,3346.5
3346.6,22.2774,0.0945,2.6003,5.0181,3346.6
3346.7,23.0123,0.0943,2.5989,5.0422,3346.7
3346.8,23.3759,0.0916,2.6015,5.0328,3346.8
3346.9,23.3502,0.092,2.6069,4.9938,3346.9
3347.0,22.9126,0.0921,2.6119,4.9601,3347.0
3347.1,22.3253,0.0913,2.614,4.9983,3347.1
3347.2,21.9249,0.0898,2.6122,5.0457,3347.2
3347.3,22.0179,0.0882,2.6084,5.026,3347.3
3347.4,22.1643,0.0899,2.6046,4.965,3347.4
3347.5,22.0884,0.089,2.6018,4.9134,3347.5
3347.6,21.508,0.0883,2.6001,4.9234,3347.6
3347.7,20.8437,0.0878,2.5989,4.9241,3347.7
3347.8,20.4359,0.0845,2.5985,4.9305,3347.8
3347.9,20.5894,0.0842,2.5999,4.9589,3347.9
3348.0,20.6496,0.0865,2.6035,4.9829,3348.0
3348.1,20.7188,0.0852,2.6083,4.9938,3348.1
3348.2,20.9338,0.0838,2.6119,4.9849,3348.2
3348.3,20.922,0.0826,2.6129,4.9639,3348.3
3348.4,20.8841,0.0789,2.6118,4.9565,3348.4
3348.5,21.1936,0.0819,2.6113,4.9959,3348.5
3348.6,21.3648,0.0797,2.6134,5.0424,3348.6
3348.7,21.4562,0.081,2.6164,5.0973,3348.7
