GR,NPHI,RHOB,RT,DEPTH
27.085,0.11,2.579,4.336,3248.8
27.052,0.107,2.58,4.329,3248.9
26.298,0.105,2.58,4.406,3249.0
26.628,0.104,2.581,4.408,3249.1
26.417,0.105,2.581,4.448,3249.2
25.008,0.106,2.582,4.419,3249.3
24.878,0.107,2.585,4.411,3249.4
26.632,0.108,2.586,4.475,3249.5
26.878,0.108,2.586,4.452,3249.6
26.254,0.107,2.584,4.525,3249.7
26.357,0.107,2.583,4.577,3249.8
26.325,0.103,2.584,4.553,3249.9
24.623,0.106,2.586,4.54,3250.0
24.281,0.105,2.589,4.613,3250.1
24.726,0.104,2.591,4.562,3250.2
24.852,0.104,2.591,4.585,3250.3
24.616,0.104,2.59,4.721,3250.4
23.868,0.104,2.588,4.721,3250.5
24.162,0.104,2.587,4.665,3250.6
24.005,0.103,2.588,4.728,3250.7
23.597,0.102,2.588,4.735,3250.8
22.419,0.101,2.589,4.761,3250.9
22.622,0.099,2.59,4.799,3251.0
23.157,0.097,2.591,4.816,3251.1
22.617,0.095,2.592,4.805,3251.2
22.436,0.095,2.592,4.893,3251.3
22.255,0.094,2.592,4.851,3251.4
22.347,0.094,2.593,4.861,3251.5
22.991,0.097,2.593,4.937,3251.6
22.95,0.098,2.593,4.982,3251.7
22.597,0.1,2.593,4.935,3251.8
22.675,0.099,2.593,4.951,3251.9
22.789,0.099,2.594,4.907,3252.0
23.728,0.098,2.594,4.932,3252.1
23.533,0.098,2.593,4.904,3252.2
22.957,0.098,2.592,4.899,3252.3
23.427,0.098,2.591,4.963,3252.4
23.326,0.097,2.591,4.945,3252.5
22.755,0.096,2.592,4.923,3252.6
22.163,0.095,2.592,4.998,3252.7
21.968,0.095,2.592,4.999,3252.8
21.525,0.094,2.591,5.025,3252.9
20.878,0.093,2.592,5.094,3253.0
19.695,0.09,2.594,5.203,3253.1
19.204,0.089,2.597,5.331,3253.2
19.046,0.088,2.598,5.388,3253.3
19.214,0.089,2.597,5.47,3253.4
20.01,0.087,2.596,5.477,3253.5
19.431,0.086,2.596,5.535,3253.6
18.919,0.085,2.598,5.676,3253.7
18.09,0.084,2.6,5.803,3253.8
17.95,0.083,2.601,5.901,3253.9
17.76,0.083,2.601,5.974,3254.0
17.489,0.082,2.601,6.078,3254.1
17.103,0.082,2.6,6.121,3254.2
16.768,0.083,2.598,6.126,3254.3
16.404,0.082,2.597,6.113,3254.4
17.315,0.08,2.596,6.16,3254.5
17.772,0.079,2.598,6.233,3254.6
17.545,0.079,2.601,6.403,3254.7
17.938,0.079,2.605,6.512,3254.8
18.436,0.078,2.609,6.6,3254.9
18.202,0.078,2.612,6.645,3255.0
17.178,0.077,2.611,6.644,3255.1
16.126,0.079,2.609,6.618,3255.2
15.973,0.079,2.606,6.572,3255.3
16.012,0.079,2.606,6.57,3255.4
16.359,0.081,2.607,6.56,3255.5
16.211,0.082,2.608,6.529,3255.6
16.073,0.081,2.61,6.517,3255.7
15.962,0.082,2.611,6.54,3255.8
16.251,0.082,2.611,6.463,3255.9
17.201,0.082,2.611,6.366,3256.0
16.668,0.084,2.608,6.275,3256.1
16.401,0.082,2.605,6.215,3256.2
17.275,0.084,2.603,6.154,3256.3
18.06,0.087,2.602,6.084,3256.4
18.922,0.089,2.602,6.008,3256.5
19.24,0.09,2.6,5.949,3256.6
19.219,0.09,2.598,5.907,3256.7
20.601,0.09,2.595,5.875,3256.8
20.519,0.09,2.592,5.817,3256.9
20.293,0.091,2.588,5.896,3257.0
20.905,0.092,2.587,5.802,3257.1
21.274,0.096,2.589,5.706,3257.2
21.807,0.098,2.593,5.625,3257.3
22.236,0.099,2.597,5.58,3257.4
22.513,0.1,2.599,5.589,3257.5
23.719,0.101,2.597,5.452,3257.6
25.04,0.102,2.593,5.542,3257.7
25.127,0.101,2.588,5.715,3257.8
24.159,0.102,2.585,6.005,3257.9
24.719,0.103,2.585,6.163,3258.0
25.947,0.104,2.588,6.209,3258.1
27.078,0.105,2.593,6.183,3258.2
27.184,0.105,2.597,6.2,3258.3
27.503,0.104,2.601,6.166,3258.4
26.999,0.104,2.603,6.578,3258.5
27.014,0.103,2.604,6.928,3258.6
26.903,0.102,2.605,7.709,3258.7
25.19,0.1,2.605,8.172,3258.8
25.217,0.098,2.605,8.429,3258.9
24.467,0.095,2.605,8.555,3259.0
22.937,0.092,2.606,8.494,3259.1
21.389,0.09,2.605,8.353,3259.2
21.118,0.089,2.603,8.358,3259.3
21.524,0.089,2.601,8.429,3259.4
21.0,0.088,2.602,8.571,3259.5
21.251,0.087,2.604,8.627,3259.6
21.893,0.086,2.607,8.631,3259.7
22.255,0.086,2.608,8.672,3259.8
22.93,0.086,2.608,8.725,3259.9
23.294,0.086,2.609,8.731,3260.0
22.498,0.087,2.609,8.725,3260.1
23.325,0.088,2.611,8.639,3260.2
24.13,0.089,2.614,8.665,3260.3
25.18,0.09,2.617,8.899,3260.4
26.104,0.09,2.619,8.968,3260.5
27.232,0.09,2.617,8.661,3260.6
26.995,0.089,2.614,8.414,3260.7
27.521,0.088,2.612,8.165,3260.8
27.219,0.087,2.611,7.735,3260.9
25.351,0.086,2.611,7.798,3261.0
24.76,0.085,2.613,8.317,3261.1
23.604,0.084,2.617,8.944,3261.2
24.075,0.084,2.623,9.034,3261.3
24.968,0.083,2.629,8.877,3261.4
24.762,0.082,2.632,8.764,3261.5
23.941,0.081,2.632,7.874,3261.6
23.237,0.08,2.628,7.632,3261.7
23.509,0.081,2.624,8.716,3261.8
23.531,0.082,2.622,9.969,3261.9
23.603,0.083,2.624,11.441,3262.0
23.223,0.082,2.626,11.254,3262.1
23.745,0.081,2.628,9.745,3262.2
23.511,0.08,2.63,8.8,3262.3
22.843,0.077,2.631,8.289,3262.4
22.21,0.074,2.631,8.056,3262.5
20.983,0.071,2.631,8.76,3262.6
19.316,0.067,2.631,9.713,3262.7
17.387,0.064,2.632,10.583,3262.8
14.74,0.06,2.634,10.966,3262.9
13.129,0.057,2.634,10.797,3263.0
12.989,0.056,2.634,10.413,3263.1
12.422,0.054,2.634,10.439,3263.2
11.984,0.053,2.637,10.683,3263.3
12.004,0.052,2.642,10.921,3263.4
11.678,0.052,2.646,11.088,3263.5
11.642,0.049,2.651,11.185,3263.6
12.555,0.049,2.653,11.177,3263.7
11.947,0.051,2.651,11.274,3263.8
11.942,0.052,2.648,11.365,3263.9
12.395,0.05,2.643,11.292,3264.0
13.134,0.05,2.641,11.249,3264.1
13.515,0.051,2.641,11.2,3264.2
13.824,0.052,2.644,11.144,3264.3
