DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2654.4,94.5812,33.16,0.2249,2.2426,0.4049,2654.4
2654.5,94.6001,31.7925,0.2251,2.237,0.3986,2654.5
2654.6,94.6102,31.3416,0.2253,2.2329,0.394,2654.6
2654.7,94.6464,31.5156,0.2257,2.2313,0.3929,2654.7
2654.8,94.7157,31.5869,0.2272,2.2308,0.3939,2654.8
2654.9,94.7554,31.3881,0.2301,2.23,0.3953,2654.9
2655.0,94.8377,31.5278,0.2341,2.2287,0.3984,2655.0
2655.1,94.9892,32.1632,0.2374,2.2277,0.401,2655.1
2655.2,95.0255,31.5923,0.2388,2.2276,0.3985,2655.2
2655.3,95.0036,31.0362,0.2395,2.2276,0.3909,2655.3
2655.4,94.9042,31.6115,0.241,2.2267,0.3872,2655.4
2655.5,94.7002,29.9358,0.2441,2.2251,0.3874,2655.5
2655.6,94.4443,29.3926,0.2473,2.2241,0.3896,2655.6
2655.7,94.1201,31.232,0.2483,2.2245,0.3906,2655.7
2655.8,93.8091,31.9749,0.2461,2.2264,0.3895,2655.8
2655.9,93.5081,31.7873,0.2427,2.2289,0.3879,2655.9
2656.0,93.2259,32.9372,0.2408,2.2314,0.3851,2656.0
2656.1,92.9233,31.7557,0.2418,2.2334,0.382,2656.1
2656.2,92.6245,33.1875,0.2445,2.2339,0.3786,2656.2
2656.3,92.3708,33.9282,0.2458,2.2321,0.3779,2656.3
2656.4,92.1241,31.5072,0.243,2.2283,0.3784,2656.4
2656.5,91.8998,32.7714,0.2367,2.2242,0.3805,2656.5
2656.6,91.7793,33.7648,0.2307,2.2217,0.3825,2656.6
2656.7,91.5367,31.88,0.2291,2.2207,0.3854,2656.7
2656.8,91.2419,31.8693,0.2319,2.2208,0.3882,2656.8
