DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2599.7,103.426,83.214,0.403,2.378,1.308,2599.7
2599.8,103.904,85.282,0.403,2.377,1.342,2599.8
2599.9,104.69,85.269,0.393,2.369,1.344,2599.9
2600.0,104.605,82.748,0.371,2.356,1.323,2600.0
2600.1,103.827,79.399,0.341,2.338,1.196,2600.1
2600.2,102.74,74.248,0.308,2.315,1.171,2600.2
2600.3,100.943,68.542,0.283,2.291,1.142,2600.3
2600.4,98.473,60.314,0.272,2.269,1.107,2600.4
2600.5,97.171,51.895,0.266,2.253,1.214,2600.5
2600.6,95.441,45.764,0.273,2.244,1.317,2600.6
2600.7,93.204,40.914,0.282,2.243,1.299,2600.7
2600.8,92.143,40.059,0.29,2.249,1.186,2600.8
2600.9,92.043,41.143,0.303,2.258,1.077,2600.9
2601.0,93.184,42.513,0.322,2.268,0.99,2601.0
2601.1,95.901,45.945,0.344,2.279,0.935,2601.1
2601.2,98.137,50.095,0.36,2.29,0.844,2601.2
2601.3,99.229,55.343,0.381,2.304,0.921,2601.3
2601.4,100.373,60.451,0.399,2.316,1.015,2601.4
2601.5,101.197,65.587,0.419,2.325,1.077,2601.5
2601.6,101.324,71.338,0.427,2.328,1.08,2601.6
2601.7,101.454,71.621,0.424,2.328,1.092,2601.7
2601.8,101.539,72.673,0.41,2.326,1.062,2601.8
2601.9,101.504,71.562,0.388,2.321,1.077,2601.9
2602.0,101.369,65.709,0.363,2.314,1.104,2602.0
2602.1,101.12,58.633,0.348,2.306,1.096,2602.1
2602.2,100.597,54.392,0.338,2.299,1.105,2602.2
2602.3,100.069,54.614,0.33,2.292,1.1,2602.3
2602.4,99.584,52.713,0.317,2.28,1.089,2602.4
2602.5,99.313,49.94,0.3,2.262,1.07,2602.5
2602.6,99.886,44.819,0.286,2.24,1.118,2602.6
2602.7,100.986,40.6,0.282,2.219,1.087,2602.7
2602.8,102.613,37.156,0.292,2.203,0.962,2602.8
2602.9,104.509,34.995,0.319,2.19,0.83,2602.9
2603.0,106.588,33.09,0.353,2.177,0.716,2603.0
2603.1,108.729,33.391,0.381,2.165,0.704,2603.1
2603.2,109.842,34.605,0.389,2.159,0.709,2603.2
2603.3,110.045,37.914,0.375,2.161,0.721,2603.3
2603.4,107.595,40.99,0.345,2.175,0.724,2603.4
2603.5,104.575,43.599,0.313,2.199,0.675,2603.5
2603.6,101.006,45.476,0.282,2.233,0.676,2603.6
2603.7,95.494,46.263,0.261,2.267,0.684,2603.7
2603.8,91.164,46.561,0.252,2.29,0.71,2603.8
2603.9,88.252,43.912,0.252,2.296,0.815,2603.9
2604.0,84.879,41.161,0.255,2.287,0.867,2604.0
2604.1,82.841,38.512,0.258,2.267,0.856,2604.1
2604.2,82.742,35.021,0.26,2.245,0.792,2604.2
2604.3,82.951,31.604,0.26,2.226,0.727,2604.3
2604.4,83.446,30.029,0.261,2.213,0.628,2604.4
2604.5,84.372,29.24,0.262,2.204,0.566,2604.5
2604.6,85.583,28.342,0.266,2.195,0.579,2604.6
2604.7,86.863,27.322,0.268,2.187,0.59,2604.7
2604.8,88.175,26.961,0.269,2.179,0.578,2604.8
2604.9,89.334,25.813,0.268,2.175,0.486,2604.9
2605.0,90.155,25.664,0.269,2.174,0.43,2605.0
2605.1,90.168,25.722,0.272,2.173,0.387,2605.1
2605.2,89.92,25.608,0.274,2.171,0.374,2605.2
2605.3,89.54,25.434,0.277,2.171,0.354,2605.3
2605.4,89.012,25.519,0.282,2.173,0.351,2605.4
